iteration,num_frames,time_in_s,species_id,size,age,stagnation,fitness,adjusted_fitness
0,40000,0.0014801025390625,1,200,0,0,,
1,80000,0.6791136264801025,1,200,1,1,-1356.650384395646,0.449730430502911
2,120000,1.3287239074707031,1,200,2,1,-1290.3383833838666,0.4407553511431523
3,160000,1.9764797687530518,1,200,3,1,-1279.5749599791059,0.4470211013812953
4,200000,2.6580753326416016,1,200,4,2,-1281.2747950207215,0.45986981829995216
5,240000,3.3003010749816895,1,200,5,1,-1236.7392895514647,0.46854495938515134
6,280000,3.9423787593841553,1,200,6,2,-1279.8814499596695,0.45788814150268337
7,320000,4.610478401184082,1,200,7,1,-1223.505677349366,0.4917437182073073
8,360000,5.2623512744903564,1,200,8,2,-1240.4326649638372,0.47673395194154383
9,400000,5.883280277252197,1,200,9,1,-1219.5645017789027,0.492077951091571
10,440000,6.53234601020813,1,200,10,1,-1210.8327414646942,0.4507567544298518
11,480000,7.109578847885132,1,200,11,2,-1275.9506682800074,0.45768184779609633
12,520000,7.662083148956299,1,200,12,3,-1224.2002597819712,0.46468592346429616
